epoch,train_L_total,train_L_rgb,train_L_depth,val_L_total,val_L_rgb,val_L_depth,train_steps,val_steps,train_seconds,val_seconds,train_it_per_s,val_it_per_s,psf_peak_mean,psf_peak_min,psf_peak_max,psf_center_3x3_mass_mean,psf_entropy_mean,psf_second_moment_mean,psf_outside_center21_max_mean,psf_edge_energy_mean,quantization_reg
0,1.0165527301995472,0.10736122055780672,0.040091083352586654,1.046289857129256,0.05459996151427428,0.04685418654233217,1334,150,422.58664431096986,19.836256013717502,3.156749078464359,7.561910871500624,0.11743315309286118,0.020563671365380287,0.19224317371845245,0.4102373421192169,4.130783557891846,154.3992462158203,0.0009765509166754782,0.006194553803652525,0.0001
1,0.7718084188348528,0.06502196889627597,0.03208769776235646,0.6980852322777112,0.04099601591626803,0.030803902680054306,1334,150,422.958624351304,19.77928786724806,3.153972807732599,7.583690626616573,0.10344211012125015,0.01564898155629635,0.16396008431911469,0.30739685893058777,4.751350402832031,369.5035705566406,0.0026853124145418406,0.015144596807658672,0.00012307692307692307
2,0.6703109830126412,0.054413828408175234,0.02807264398494414,0.5418991583585739,0.04938607212156057,0.022152846126506726,1334,150,423.4784151003696,19.838989757932723,3.150101522137381,7.560868866320258,0.08033589273691177,0.014233765192329884,0.14164423942565918,0.2564152777194977,5.66534948348999,1229.9029541015625,0.0029397078324109316,0.07009425759315491,0.00014615384615384615
3,0.5135026390271923,0.05387078644637985,0.02028341950308336,0.5158789069453875,0.0470892288411657,0.02107918051692347,1334,150,422.4330033031292,19.918651301879436,3.1578972039804123,7.5306303487448805,0.09713128954172134,0.018999066203832626,0.1485724300146103,0.28044676780700684,5.9472198486328125,1892.8006591796875,0.002513771876692772,0.11684060096740723,0.00016923076923076923
4,0.43462917186330996,0.05053858894218078,0.01667148087905354,0.415718779861927,0.041208929469188055,0.01665889862459153,1334,150,424.3910010601394,19.82981786178425,3.143327725299628,7.564365998997799,0.09914520382881165,0.021233316510915756,0.15558089315891266,0.28158822655677795,6.054506778717041,2021.8837890625,0.0024236650206148624,0.122948557138443,0.0001923076923076923
5,0.38011782438210817,0.048225835277077585,0.014176906057356995,0.4169275753200054,0.0405751975129048,0.01678272072148199,1334,150,422.79096178291366,19.80128687620163,3.155223551550177,7.575265230881482,0.10669559240341187,0.022766953334212303,0.18921776115894318,0.29221776127815247,6.065876007080078,2024.7335205078125,0.0022839198354631662,0.12276875972747803,0.0002153846153846154
6,0.35111448909903037,0.045999139062836876,0.012949423046522206,0.44090340346097945,0.039237042653063936,0.01811532396978388,1334,150,417.16755942907184,19.788582019973546,3.197755841383469,7.580128775704997,0.11515935510396957,0.025619996711611748,0.22406721115112305,0.305254191160202,6.00446081161499,2049.82373046875,0.002523229457437992,0.12284029275178909,0.00023846153846153847
7,0.3212010054506998,0.04297932019007617,0.011755787876380168,0.3521460155646006,0.04302449522539973,0.01329859536063547,1334,150,418.10047634737566,19.808524715248495,3.19062061745095,7.572497303876992,0.11966369301080704,0.02640598826110363,0.2453041970729828,0.31282660365104675,5.974483966827393,2060.827880859375,0.0021931275259703398,0.125123992562294,0.00026153846153846154
8,0.29780543220230843,0.041904811084136434,0.010693365023115362,0.30827501907944677,0.03658638399094343,0.011748522832058371,1334,150,416.9421735801734,19.792916221078485,3.19948444779594,7.578468898901181,0.12283086776733398,0.028430290520191193,0.2484074980020523,0.3204205334186554,5.969648838043213,2204.928466796875,0.002056306228041649,0.1317981332540512,0.0002846153846153846
9,0.2832501293893071,0.04036455740803096,0.010119745179360127,0.33602758636077246,0.03732464522123337,0.013062483483615021,1334,150,418.26800248306245,19.88702656701207,3.1893426991322857,7.542605702997095,0.12544363737106323,0.02861052006483078,0.26639291644096375,0.32203248143196106,5.9815802574157715,2141.868896484375,0.0020881493110209703,0.1286243349313736,0.0003076923076923077
10,0.2756266122938007,0.03973334068865299,0.009801736133055471,0.340652240216732,0.03686898353199164,0.013339754461776465,1334,150,418.55878267716616,19.970032394398004,3.1871270063132626,7.511254715945179,0.12877969443798065,0.029157420620322227,0.27438828349113464,0.32927364110946655,5.898692607879639,2024.6717529296875,0.0019942547660320997,0.11918691545724869,0.00033076923076923073
11,0.24995425482583547,0.03817875796127534,0.008673872859245152,0.30318922832608225,0.035742937736213204,0.011579083445637177,1334,150,421.9013882866129,19.900644375011325,3.161876298671398,7.53744437483395,0.13189536333084106,0.02981177344918251,0.30101996660232544,0.3328133225440979,5.931201934814453,2081.165283203125,0.0018367109587416053,0.12168694287538528,0.0003538461538461538
12,0.2422131444906992,0.03692902597728586,0.008412052858135673,0.254230009863774,0.034906539861112834,0.009215503906598315,1334,150,420.8447942887433,19.90519090788439,3.1698146635140207,7.53572275162583,0.1299186497926712,0.029764650389552116,0.2864765524864197,0.3345247209072113,5.885578155517578,1852.439453125,0.0017025042325258255,0.10685348510742188,0.00037692307692307694
13,0.2215230404001394,0.035551945924636036,0.007515581064376522,0.2997415536145369,0.03568103671694795,0.011413512969544778,1334,150,418.59564433805645,19.821582374628633,3.1868463469310875,7.567508847931235,0.1260760873556137,0.0302891805768013,0.274837851524353,0.32709965109825134,6.017994403839111,1995.7325439453125,0.0014995333040133119,0.10922372341156006,0.00039999999999999996
14,0.21075181795962747,0.03485733793484329,0.0070465133714627875,0.2677945402264595,0.037019407420108716,0.009682378552388399,1334,150,417.3531984719448,19.74973868113011,3.1963334769786695,7.5950372013437075,0.12034101039171219,0.029672713950276375,0.27247336506843567,0.316116601228714,6.110302448272705,1943.2581787109375,0.0014349952107295394,0.10815510153770447,0.00042307692307692304
15,0.20108554637369544,0.03420743453030152,0.006628333411763829,0.23293387686212857,0.0320746856679519,0.008434494109048198,1334,150,417.5398005056195,19.897773682139814,3.1949050087790285,7.538531817488686,0.12379484623670578,0.029925504699349403,0.2894032597541809,0.3195579946041107,6.061614513397217,1801.47900390625,0.0013361811870709062,0.09462238103151321,0.0004461538461538462
16,0.18862423547047905,0.03340612307562307,0.006085689739248055,0.21327841346462567,0.03438036346808076,0.00722107807174325,1334,150,416.8318829610944,19.843333438038826,3.200331007607954,7.559213801873448,0.1208663359284401,0.03013850934803486,0.28759798407554626,0.3127518594264984,6.12095832824707,1807.1123046875,0.00142234330996871,0.09612289816141129,0.0004692307692307692
17,0.17770793962514383,0.03252918909846999,0.005627752686211926,0.21363345096508662,0.033650335483253004,0.007311943621995548,1334,150,416.3302810387686,19.871044592000544,3.204186821750249,7.548672104554849,0.12199145555496216,0.029323821887373924,0.29217860102653503,0.3163680136203766,6.0930047035217285,1780.0228271484375,0.001310547231696546,0.09390876442193985,0.0004923076923076923
18,0.1657706171307696,0.03169127194437085,0.005114903601010036,0.3489172055075566,0.03618104168524345,0.013823339581722393,1334,150,415.6641308069229,19.786552859004587,3.2093219047078336,7.580906137055454,0.12506355345249176,0.029907751828432083,0.3027644157409668,0.3228967785835266,6.053823471069336,1705.58837890625,0.0012385539012029767,0.08833000808954239,0.0005153846153846155
19,0.16592728961510458,0.031850343450730755,0.00510694082061735,0.20447675714890162,0.03172056497385105,0.007047494308790192,1334,150,417.42970997840166,19.82132266415283,3.1957476147757258,7.567608001825091,0.12099570035934448,0.029737433418631554,0.29756349325180054,0.31589946150779724,6.066242218017578,1652.2274169921875,0.0011447170982137322,0.0857413113117218,0.0005384615384615384
20,0.15795625811875583,0.03148645216129955,0.004744853547737952,0.19990488032499948,0.033181995109965404,0.006672823114010195,1334,150,416.59810017514974,19.808606946840882,3.2021269406633115,7.572465868122156,0.11807944625616074,0.03004426509141922,0.2877696752548218,0.31024330854415894,6.132539749145508,1617.2774658203125,0.001221183338202536,0.08442259579896927,0.0005615384615384615
