epoch,train_L_total,train_L_rgb,train_L_depth,val_L_total,val_L_rgb,val_L_depth,train_steps,val_steps,train_seconds,val_seconds,train_it_per_s,val_it_per_s,psf_peak_mean,psf_peak_min,psf_peak_max,psf_center_3x3_mass_mean,psf_entropy_mean,psf_second_moment_mean
0,0.7356664900077337,0.10722300598769263,0.026061023920083297,0.33481139078736305,0.05759003831694524,0.010981565732508898,1334,150,597.5662277340889,26.607547510415316,2.232388542201245,5.6374981550360355,0.7909438014030457,0.04793447256088257,0.9983968138694763,0.7909522652626038,2.2860491275787354,1586.021484375
1,0.350740197967777,0.07028317337959022,0.010508692561546858,0.47334680447975797,0.05668710218121608,0.01799862999934703,1334,150,601.2829139740206,26.63749431911856,2.218589567402272,5.631160281180814,0.7648616433143616,0.018849944695830345,0.9991656541824341,0.7643314003944397,2.3852732181549072,1970.611328125
2,0.2770482370856105,0.056068109898552904,0.00824560088043016,0.41645135139425593,0.049787884677449865,0.015843779093896348,1334,150,604.2012514527887,26.654746077023447,2.2078736129599634,5.6275156239173825,0.7545040249824524,0.01338496059179306,0.9994807839393616,0.7523064613342285,2.386537551879883,2109.0029296875
3,0.2448693113694752,0.050542807337762355,0.007189184812199872,0.37573914979894957,0.04534761904428403,0.014252195643105854,1334,150,601.7925073727965,26.467078597750515,2.2167108823334316,5.667418088702422,0.7465268969535828,0.006431839894503355,0.9996718168258667,0.7430518269538879,2.3799612522125244,2122.623291015625
4,0.22412453775574778,0.04659459783068706,0.00654676708930718,0.32482641071081164,0.04627574192980925,0.01161374631104991,1334,150,603.0114673920907,26.481052772141993,2.212229902972318,5.664427365886286,0.7448328137397766,0.008811436593532562,0.999790370464325,0.7404136657714844,2.3526482582092285,2156.997314453125
5,0.20245514045479238,0.0433785378488934,0.0057849032303714226,0.3188836159557104,0.045496126282960174,0.011394568126027783,1334,150,599.9001621189527,26.408843494951725,2.2237033497175225,5.679915518779676,0.7416321635246277,0.010581894777715206,0.9998527765274048,0.7367283701896667,2.339235305786133,2190.283935546875
6,0.19214220316536065,0.04174487099380999,0.0054326230673869234,0.36185087492068607,0.040560029683013754,0.014036540605981524,1334,150,600.2404791857116,26.44840879738331,2.222442581362905,5.671418690973967,0.7359593510627747,0.007063496857881546,0.999893307685852,0.730682373046875,2.3609917163848877,2180.689208984375
7,0.17343400031149478,0.038633800185016026,0.004808319997055682,0.21681104140977064,0.03607017444446683,0.0072335345841323334,1334,150,601.4584420868196,26.55704664485529,2.2179420998258084,5.6482184184836095,0.7336771488189697,0.004968541208654642,0.9999226331710815,0.728444516658783,2.361145257949829,2177.7548828125
8,0.16605494940734428,0.0376874783580405,0.004533999632110937,0.1908491346736749,0.0378977110547324,0.005752685619906212,1334,150,603.8113273549825,26.543397383764386,2.2092993946364596,5.651122869891156,0.7324113845825195,0.004054317716509104,0.9999502897262573,0.727409303188324,2.3530519008636475,2186.375
9,0.15822273510964824,0.03642990786688349,0.004268145969343851,0.21800053497155508,0.03681730253001054,0.007218296534847468,1334,150,603.4334162706509,26.47367532737553,2.2106830083166567,5.666005877351306,0.7316231727600098,0.003948911093175411,0.9999685287475586,0.7268316149711609,2.348475217819214,2136.934326171875
10,0.15049109509636438,0.035344935691813524,0.003990061188385804,0.4039166044195493,0.038697801306843756,0.016326050071511417,1334,150,601.7937860251404,26.506277340929955,2.216706172410147,5.65903684137402,0.7272949814796448,0.004005527589470148,0.9999825954437256,0.7234246134757996,2.3639931678771973,2092.867431640625
11,0.14315727525676925,0.03432298898962194,0.003725564866311041,0.22062641230722269,0.03592740562433998,0.0074385800693805015,1334,150,602.837194099091,26.522380053065717,2.2128694331702508,5.65560103202961,0.7263596057891846,0.004256275948137045,0.9999886751174927,0.7225062251091003,2.3695600032806396,2088.513427734375
